testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
57670878	58713801	0	0	0	1928	0	0.305	0	1
26192111	-100	0	0	0	-100	0	0.333	0	
34514213	34575726	0	0	0	179	0	0.116	0	100
55427497	55428131	0	0	0	1	0	0.069	0	101
11386650	11401191	0	0	0	35	0	0.031	0	102
27115009	27136131	0	0	0	1	0	0.031	0	103
9287194	9288127	0	0	0	1	0	0.054	0	104
11383597	11383859	0	0	0	1	0	0.015	0	105
20819753	-100	0	0	0	-100	0	0.248	0	
55422753	-100	0	0	0	-100	0	0.338	0	
2992839	2993219	0	0	0	8812	0	0.285	0	108
21866382	21868956	0	0	0	197	0	0.047	0	109
42967554	-100	0	0	0	-100	0	0.317	0	
2016762	6136435	0	0	0	1	0	0.037	0	110
8231952	-100	0	0	0	-100	0	0.286	0	
31298002	-100	0	0	0	-100	0	0.247	0	
19763516	-100	0	0	0	-100	0	0.301	0	
36539693	-100	0	0	0	-100	0	0.232	0	
27101716	27104464	0	0	0	1517	0	0.053	0	115
61703895	61764022	0	0	0	1533	0	0.031	0	116
25003365	-100	0	0	0	-100	0	0.238	0	
53350223	56459099	0	0	0	1	0	0.016	0	118
37584497	-100	0	0	0	-100	0	0.248	0	
40870317	40893530	0	0	0	1	0	0.037	0	12
20807131	29250506	0	0	0	5	0	0.016	0	120
18711100	19895374	0	0	0	373	0	0.062	0	122
51212683	51222954	0	0	0	1	0	0.023	0	123
58552366	58618209	0	0	0	19	0	0.015	0	124
30240139	-100	0	0	0	-100	0	0.263	0	
31910823	31921095	0	0	0	1	0	0.016	0	1255
6101568	-100	0	0	0	-100	0	0.307	0	
50785022	-100	0	0	0	-100	0	0.248	0	
6744723	32319161	0	0	0	523	0	0.046	0	1258
18278769	-100	0	0	0	-100	0	0.223	0	
16608081	-100	0	0	0	-100	0	0.232	0	
9168602	9826512	0	0	0	14	0	0.053	0	1260
13370431	-100	0	0	0	-100	0	0.248	0	
59569589	-100	0	0	0	-100	0	0.269	0	
8839541	30105561	0	0	0	13	0	0.019	0	1263
39248083	39327969	0	0	0	5081	0	0.113	0	1264
8876138	30859295	0	0	0	7	0	0.053	0	1265
16438084	17359566	0	0	0	5	0	0.031	0	1266
910476	10126256	0	0	0	22	0	0.047	0	1267
29807879	-100	0	0	0	-100	0	0.223	0	
44487685	44501681	0	0	0	296	0	0.062	0	1269
33384989	33385938	0	0	0	235	0	0.038	0	127
1495308	-100	0	0	0	-100	0	0.247	0	
24563783	24575308	0	0	0	2	0	0.032	0	1271
33999177	34000755	0	0	0	5	0	0.022	0	1272
40292185	-100	0	0	0	-100	0	0.263	0	
8834667	8896237	0	0	0	7535	0	0.169	0	1274
1883048	10931702	0	0	0	59	0	0.047	0	1275
38535355	49171585	0	0	0	3	0	0.022	0	1276
21416108	30109459	0	0	0	147	0	0.016	0	1277
2484064	9880805	0	0	0	90	0	0.031	0	1278
35046238	61264151	0	0	0	50	0	0.016	0	1279
33384755	-100	0	0	0	-100	0	0.238	0	
5685803	-100	0	0	0	-100	0	0.263	0	
9877993	13348811	0	0	0	17	0	0.016	0	1281
22459719	-100	0	0	0	-100	0	0.053	0	
33993942	-100	0	0	0	-100	0	0.232	0	
29798828	29818019	0	0	0	653	0	0.038	0	1284
42474596	47871962	0	0	0	345	0	0.046	0	1286
26650992	26711140	0	0	0	144	0	0.047	0	1287
5145521	9379768	0	0	0	9	0	0.007	0	1288
20801833	20806671	0	0	0	1	0	0.016	0	129
30845148	31430826	0	0	0	15	0	0.046	0	1290
15116158	-100	0	0	0	-100	0	0.239	0	
5678741	47722200	0	0	0	55	0	0.015	0	1292
14066898	-100	0	0	0	-100	0	0.248	0	
33989669	34006885	0	0	0	2929	0	0.084	0	1294
49068119	-100	0	0	0	-100	0	0.216	0	
16163365	16164132	0	0	0	1	0	0.032	0	1296
36086193	45794079	0	0	0	7	0	0.006	0	1297
14065908	-100	0	0	0	-100	0	0.232	0	
472626	1741041	0	0	0	448	0	0.063	0	1299
38771664	-100	0	0	0	-100	0	0.238	0	
12412353	-100	0	0	0	-100	0	0.269	0	
42376787	49789018	0	0	0	3	0	0.016	0	1300
16890206	31891025	0	0	0	1	0	0.063	0	1301
52862349	57434659	0	0	0	538	0	0.053	0	1302
9926356	-100	0	0	0	-100	0	0.232	0	
8842237	28993398	0	0	0	728	0	0.031	0	1304
16145682	-100	0	0	0	-100	0	0.238	0	
27118479	27160339	0	0	0	2	0	0.032	0	1306
7976967	-100	0	0	0	-100	0	0.241	0	
14751964	32458679	0	0	0	3840	0	0.126	0	1308
33985286	33986324	0	0	0	11	0	0.053	0	1309
28140311	28141376	0	0	0	3	0	0.016	0	131
10916159	10985576	0	0	0	14	0	0.0	0	1310
61247661	61270215	0	0	0	2	0	0.031	0	1311
26810375	26812096	0	0	0	1	0	0.038	0	1312
47614003	-100	0	0	0	-100	0	0.216	0	
26642617	26661734	0	0	0	1164	0	0.069	0	1314
41322457	41323554	0	0	0	1	0	0.016	0	1315
29786921	-100	0	0	0	-100	0	0.263	0	
12182592	12210245	0	0	0	429	0	0.022	0	1317
24835051	25571843	0	0	0	2020	0	0.078	0	1318
8814455	8824004	0	0	0	1037	0	0.022	0	1319
59597354	59597453	0	0	0	1	0	0.047	0	132
29588168	-100	0	0	0	-100	0	0.216	0	
16423571	-100	0	0	0	-100	0	0.216	0	
23922134	-100	0	0	0	-100	0	0.254	0	
21409397	-100	0	0	0	-100	0	0.216	0	
3391256	-100	0	0	0	-100	0	0.27	0	
1611822	-100	0	0	0	-100	0	0.263	0	
38142578	54591622	0	0	0	1	0	0.022	0	1328
55998266	56266405	0	0	0	10	0	0.031	0	1329
9432460	16695000	0	0	0	1	0	0.047	0	133
11958036	-100	0	0	0	-100	0	0.27	0	
11957981	11970742	0	0	0	17	0	0.031	0	1331
58125830	59143792	0	0	0	15	0	0.038	0	1332
837703	-100	0	0	0	-100	0	0.263	0	
10908270	10908696	0	0	0	17	0	0.038	0	1334
50854359	54948776	0	0	0	8813	0	0.2	0	1335
6714024	-100	0	0	0	-100	0	0.232	0	
14053063	-100	0	0	0	-100	0	0.234	0	
4837723	-100	0	0	0	-100	0	0.259	0	
8025728	8107118	0	0	0	15	0	0.042	0	1339
36526527	36526872	0	0	0	1	0	0.013	0	134
45856153	45858042	0	0	0	1131	0	0.03	0	1342
53299280	60190084	0	0	0	1	0	0.04	0	1343
17242408	44460394	0	0	0	284	0	0.02	0	1344
6104916	15499255	0	0	0	13	0	0.038	0	1346
7759855	14297735	0	0	0	8923	0	0.184	0	1347
13130538	13177149	0	0	0	267	0	0.118	0	1348
7759549	12415640	0	0	0	41	0	0.032	0	1349
44914201	-100	0	0	0	-100	0	0.231	0	
17196556	17231258	0	0	0	3790	0	0.138	0	1350
20341356	-100	0	0	0	-100	0	0.248	0	
33445269	-100	0	0	0	-100	0	0.254	0	
13001238	13077106	0	0	0	296	0	0.015	0	1354
29778262	-100	0	0	0	-100	0	0.216	0	
61235460	61673221	0	0	0	3162	0	0.101	0	1356
9888323	44458165	0	0	0	460	0	0.062	0	1358
13000767	-100	0	0	0	-100	0	0.223	0	
31282240	-100	0	0	0	-100	0	0.062	0	
27787877	-100	0	0	0	-100	0	0.239	0	
